"STT","Tần số (Mhz)","C/suất trước đk suy hao (dB)","Mức suy hao (dB)","K/quả sau đk suy hao (dB)","Sai số điều khiển suy hao (≤ 0.5dB)","Đánh giá"
"1","9200","","10","","",""
"2","9200","","20","","",""
"3","9200","","30","","",""
"4","9300","","10","","",""
"5","9300","","20","","",""
"6","9300","","30","","",""
"7","9400","","10","","",""
"8","9400","","20","","",""
"9","9400","","30","","",""
"10","9500","","10","","",""
"11","9500","","20","","",""
"12","9500","","30","","",""
"13","9600","","10","","",""
"14","9600","","20","","",""
"15","9600","","30","","",""
